Size	   Bubble Sort	Selection Sort	Insertion Sort
50	22133.785	15014.52	8903.38
100	79033.55	55111.836	31448.766
150	173629.08	117641.18	67035.836
200	306284.78	209829.73	116115.78
250	455410.75	297128.34	175915.23
300	773996.75	523934.16	296573.38
350	926264.2	633706.4	347815.0
400	1085075.0	681308.56	399256.62
450	1244318.1	744213.06	437921.0
500	1544541.5	918201.1	538172.7
550	1895943.4	1130339.6	659835.25
600	2221205.2	1308053.9	764684.06
650	2629675.0	1536166.4	895623.44
700	2977438.8	1730937.1	1014554.25
750	3429693.5	1988764.5	1162339.6
800	3932787.0	2274935.2	1335015.6
850	4423638.5	2550935.0	1498241.6
900	4970829.0	2879033.2	1683449.6
950	6000918.0	3510835.8	2032878.5
1000	6295004.0	3609795.2	2123194.0
